"TYP";"ID";"WOJEWODZTWO";"POWIAT";"GMINA";"TERC";"MIEJSCOWOSC";"SIMC";"NAZWA_PELNA_STAND";"ULIC";"NR_PORZADKOWY";"X92";"Y92"
"AP";"4856464";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL DOLNE MŁYNY";"04044";"22";"259869";"383346"
"AP";"4821509";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"49";"260547";"386341"
"AP";"4821509";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"47";"260524";"386362"
"AP";"4821509";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"45";"260495";"386348"
"AP";"4821509";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"47A";"260519";"386329"
"AP";"4821509";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"43";"260546";"386296"
"AP";"4821509";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"41";"260528";"386246"
"AP";"4821509";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"39";"260514";"386270"
"AP";"4821509";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"39A";"260500";"386242"
"AP";"4821509";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"37";"260479";"386273"
"AP";"4821509";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"37A";"260472";"386227"
"AP";"4853555";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"6A";"260914";"383431"
"AP";"4844817";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"32";"261121";"384233"
"AP";"4844816";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"34";"260988";"384353"
"AP";"4844816";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"40";"261049";"384354"
"AP";"4844816";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"42";"261044";"384356"
"AP";"4844816";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"44";"261029";"384362"
"AP";"4844816";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"46";"261023";"384364"
"AP";"4844816";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"48";"261008";"384370"
"AP";"4844816";"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"0201011";"BOLESŁAWIEC";"0935989";"UL TADEUSZA KOŚCIUSZKI";"09582";"50";"261002";"384372"
